,text,color,size,position,time,sn,userid
0,謝謝巴哈大哥,#FFFFFF,1,0,0,37089407,s970446
1,第一次,#FFFFFF,1,0,0,39557840,wex690825
2,0.0,#FFFFFF,1,0,0,40729192,z80262001
3,耶,#FFFFFF,1,0,0,41875955,ouyang318
4,二刷,#FFFFFF,1,0,0,42903755,qaz1210731
5,小內帶我來看的WW,#FF0026,2,2,3,42305498,Q224957470
6,簽,#FF9496,1,0,5,40538692,elisa0318
7,吉依好可愛,#FFFFFF,1,0,5,40580321,KingOrange69
8,哈嘍,#FFFFFF,1,0,5,40657118,rwan123
9,簽,#FFFFFF,1,0,5,41446388,nehsh101
10,1,#FFFFFF,1,0,5,42235007,zxc520031
11,個,#FFFFFF,1,0,5,42576215,d3498115
12,千,#FFFFFF,1,0,6,43809180,pikachiuweii
13,靠真的好可愛,#FFFFFF,1,0,10,38700844,milkppt
14,簽,#FF0026,1,0,15,42812053,Ceadda127
15,好可愛啊😍,#FFFFFF,2,0,15,43532304,bellaliu1230
16,兄弟們 我來了！,#FFFFFF,1,0,16,42125192,good78221125
17,簽,#FFFFFF,1,0,19,42456696,Rei9488
18,巴哈我大哥 謝謝 我可以補前面的了,#FFFFFF,1,0,20,37223278,mcgr490
19,巴哈我兄弟,#FFFFFF,1,0,21,37097711,stknight410
20,總點閱數千萬了，什麼時候出中文續集QAQ,#FFFFFF,1,0,23,41862583,IONCHIPS
21,我怎麼可能會輸給吉伊卡哇,#A7FE39,1,1,23,42523886,sunny254ww
22,巴哈我大哥,#FFFFFF,1,0,24,37399442,gemmalinn
23,兄弟,#FFFFFF,1,0,25,37090866,k246836
24,😆,#FFFFFF,1,0,25,37543537,a59875987
25,兄弟,#FFFFFF,1,0,25,39165765,coolmus64
26,這真的超可愛,#FFFFFF,1,0,25,41891414,bubble0315
27,好可愛,#FFFFFF,1,0,25,43842076,jerry990126
28,好棒喔  謝謝巴哈,#FFFFFF,1,0,28,37092222,kifar13
29,這部很治癒 也有一些恐怖的細節,#FF9496,2,0,30,42780785,kkjt1030
30,可愛,#FFFFFF,1,0,34,42096407,smile10101
31,感謝動畫瘋！,#FFFFFF,1,0,35,37089028,cathykao1015
32,1130611,#FFFFFF,1,0,35,39908396,Cute710
33,體感一分鐘笑爆....XD,#FFFFFF,1,0,40,40543483,ncbob
34,兄弟，你好香,#FF0026,2,0,41,39378627,BHSN000058k3
35,20240227簽,#FFFFFF,1,0,42,38175989,Mishanecron
36,簽,#FFFFFF,1,0,44,42661483,m617007
37,謝謝巴哈大哥,#FFFFFF,1,0,47,41916318,zero77716
38,巴哈我大哥啊啊啊啊啊,#FFFFFF,1,0,50,37116180,iorimo0u0
39,步奏蛤母匠薑～～～🤪我跑錯棚了,#FFFFFF,1,0,50,37193568,mfabc
40,兄弟…,#FFFFFF,1,0,50,38425610,zzxcc132465
41,日本,#FFFFFF,1,0,52,44779016,amywei03
42,簽,#FFFFFF,1,0,58,38369474,hongyouc01
43,簽,#FFFFFF,1,0,58,39493795,cyc1313
44,簽！,#FFFFFF,1,0,58,41720550,Angrypig0212
45,二刷,#FFFFFF,1,0,59,44529553,st5109185
46,五刷,#FFFFFF,2,0,62,37116008,kerrypeng62
47,呀～～～耶,#FFFFFF,1,0,62,37846538,brianbon
48,你知道我要說什麼。(gif,#FFFFFF,1,0,65,37598411,ray030716
49,2024/7/3簽:D,#B538FA,1,0,65,40289891,Noisyfish
50,瘦版烏薩奇,#FFFFFF,1,0,65,42597745,loenyen73
51,伊呀哈～,#FFFFFF,1,0,70,37106233,blight0710
52,超三小,#FFFFFF,1,0,70,41651190,kevinlin5220
53,兔兔,#FFFFFF,1,0,71,37141334,marux3
54,兄弟，你香,#FFFFFF,1,0,73,39173954,hoen0531
55,兄弟...,#FFFFFF,1,0,75,38588475,hauch000727
56,這時候聲優還很克制呢，可愛可愛的，後面就,#FFFFFF,1,0,76,41948239,Euphie617
57,30秒廣告 進來看1分鐘:）,#FFFFFF,1,2,80,38930758,s2p7hc2r9g
58,簽,#FFFFFF,1,0,80,42439437,JiaRui0719
59,兄弟,#FFFFFF,1,0,81,41531892,mken
60,兄弟,#FFFFFF,1,0,83,37690420,j0908552602
61,阪急電鐵有搭到,#FF9625,1,0,85,38108219,erichuang80s
62,讚讚,#FDE53D,2,0,85,43843894,Mia1020214
63,第一次看動畫,#FFFFFF,1,0,86,41514906,z7957309
64,兄弟...兄弟...,#FFFFFF,1,0,87,37089556,as22768221
65,呀哈,#FFFFFF,1,0,87,42160399,fe6793
66,兔子玩得那麼開心，我聽了也好開心,#FDE53D,1,0,88,41712600,DKLin0218
67,巴哈我大哥啊啊啊啊啊啊！呀～～～～哈～～,#00C3FC,1,0,90,37320818,cutez77
68,狗都不看,#FFFFFF,1,0,90,41733877,Kaitien1
69,我也想上去彈跳XD!!!!,#FFFFFF,1,0,93,37090008,akarimez
70,20250203,#FFFFFF,1,0,93,43750059,s0813707
71,怎麼可以那麼可愛,#FFFFFF,1,1,95,37836304,mia10110060
72,好好吃的感覺,#FF9496,1,0,95,39963271,haru15
73,我沒了,#FFFFFF,1,0,95,41584015,momoja0405
74,可愛死,#FFFFFF,1,0,95,44179848,g840483938
75,咿呀哈,#FFFFFF,1,0,97,37089017,xrayxrayxray
76,簽,#FFFFFF,1,0,97,41939951,g1080109
77,好癲我喜歡,#FFFFFF,1,0,98,40277813,s06578
78,這也太絲滑,#FFFFFF,1,0,98,44056626,WWW924051
79,呀,#FFFFFF,1,0,100,42386189,UwUsb924549
80,二刷,#FFFFFF,1,0,101,43860125,inspiration9
81,簽,#FFFFFF,1,0,105,40784961,yu2501171025
82,羊粑粑,#FFFFFF,1,0,105,44235094,K941119
83,！！！,#FFFFFF,2,0,106,42505502,pink20111129
84,24／7／18 一刷,#0036FA,2,2,109,40649740,xgu3771
85,呀哈！,#FDE53D,2,1,112,44403849,wunuynuy
86,可以超死你嗎,#FFFFFF,1,0,114,43353570,ddmo1017017
87,好可愛,#FFFFFF,1,0,114,44529401,st5109185
88,啊啊啊啊啊啊 好可愛,#FF0026,1,0,115,41104639,zzx0914
89,超愛小八,#FFFFFF,1,0,115,42722940,g57z2p9hz8
90,好可愛R,#FFFFFF,1,0,116,37255874,orpeter2266
91,這個YA~的配音也太好笑🤣,#FFFFFF,1,0,116,40913696,sasujiya0214
92,巴哈我大哥,#FFFFFF,1,0,117,39327143,a4090851206
93,.,#FFFFFF,1,0,118,43528987,q3882222
94,兔哥威武,#FFFFFF,1,0,120,37088992,svn77
95,我好像有吉伊卡哇正版小娃娃,#FF02D3,2,0,121,41338198,qdi201716
96,吉伊值得你儲值付費,#FF9625,2,2,124,41569792,kmc41891
97,兄弟…你好香,#00C3FC,1,0,125,39026504,BHSN00004rpu
98,截圖當桌布,#FFFFFF,1,0,125,40271962,Bananaaa
99,別怕30秒廣告，因為你會一直重播看1小時,#FF9625,1,0,125,41712632,DKLin0218
100,挖哭挖哭,#FFFFFF,2,1,125,41820652,terryc92
101,兄弟...,#FFFFFF,1,0,126,38724243,Tt97011
102,烏薩奇我大兔哥,#FFFFFF,1,0,128,37923685,fkps9450432
103,兄弟你好香,#FFFFFF,1,0,129,37912075,thffhrherh5
104,我是兔媽咪,#FDE53D,2,2,129,42400432,yjyjyyjj
105,嗨,#FFFFFF,1,0,129,42530942,Wufun123
106,三小,#FFFFFF,1,0,130,37130234,ryan950623
